training iterations,perplexity_normal,perplexity POS_normal,perplexity_POS,perplexity POS_POS,perplexity_diff,perplexity_POS_diff
500,501.9717102050781,inf,386.7140502929688,1.3284202814102173,115.25765991210932,inf
1000,4001.3134765625,inf,2602.85205078125,1.4385641813278198,1398.46142578125,inf
1500,11923.07421875,inf,7002.8076171875,1.4814813137054443,4920.2666015625,inf
2000,31113.55859375,inf,14729.181640625,1.5188223123550415,16384.376953125,inf
2500,78268.7734375,inf,25789.056640625,1.6272414922714231,52479.716796875,inf
3000,153855.703125,inf,39186.47265625,1.6544023752212524,114669.23046875,inf
3500,182527.28125,inf,59750.92578125,1.7629245519638062,122776.35546875,inf
4000,267375.75,inf,84590.1640625,1.7594232559204102,182785.5859375,inf
4500,358741.03125,inf,83554.8125,1.8429641723632808,275186.21875,inf
5000,355964.03125,inf,117524.171875,1.7593837976455688,238439.859375,inf
