training iterations,perplexity,perplexity POS
20,34869.93359375,652.3207397460938
40,17169.81640625,81.69844818115234
60,10565.76953125,15.534087181091309
80,7495.970703125,7.434794902801514
100,5467.8232421875,3.474426031112671
120,3739.684814453125,2.2531847953796387
140,2438.982666015625,1.830756425857544
160,1692.599853515625,1.6590548753738403
180,1272.35009765625,1.5057350397109985
200,1041.7177734375,1.4271210432052612
20,34873.1640625,652.4414672851562
40,17168.212890625,81.7099838256836
60,10565.7763671875,15.53453254699707
80,7495.9658203125,7.435113906860352
100,5467.53076171875,3.4744114875793457
120,3739.4501953125,2.2530643939971924
140,2438.871337890625,1.8307826519012451
160,1692.599853515625,1.6590601205825806
180,1272.2711181640625,1.5056443214416504
200,1041.690185546875,1.4270588159561157
