training iterations,perplexity,perplexity POS,type
500,198.9373016357422,8.810568809509277,ground_truth_pre
1000,91.61917877197266,7.023885726928711,ground_truth_pre
1500,64.42350769042969,6.560748100280762,ground_truth_pre
2000,52.81558609008789,6.265957355499268,ground_truth_pre
2500,49.83280563354492,6.061794757843018,ground_truth_pre
3000,43.9721565246582,5.937450408935547,ground_truth_pre
3500,40.907379150390625,5.704540252685547,ground_truth_pre
4000,40.060279846191406,5.795863628387451,ground_truth_pre
4500,38.89672088623047,5.688024044036865,ground_truth_pre
5000,36.63156509399414,5.5660719871521,ground_truth_pre
5500,36.61317825317383,5.603169918060303,ground_truth_pre
6000,34.83027648925781,5.647083759307861,ground_truth_pre
6500,33.55915832519531,5.582849025726318,ground_truth_pre
7000,32.924312591552734,5.527840614318848,ground_truth_pre
7500,31.607666015625,5.476989269256592,ground_truth_pre
8000,30.862886428833008,5.469699382781982,ground_truth_pre
8500,29.676198959350586,5.360844135284424,ground_truth_pre
9000,30.363101959228516,5.413925647735596,ground_truth_pre
9500,30.523056030273438,5.331178665161133,ground_truth_pre
10000,30.087461471557617,5.310276508331299,ground_truth_pre
10500,29.123058319091797,5.37246036529541,ground_truth_pre
