training iterations,perplexity,perplexity POS,type
1000,432.01483154296875,1.018394112586975,blank
2000,210.18905639648438,1.0170092582702637,blank
3000,163.9096221923828,1.01211678981781,blank
4000,140.4580535888672,1.0118420124053955,blank
5000,125.3125,1.0147725343704224,blank
6000,123.75582122802734,1.0134881734848022,blank
7000,111.92062377929688,1.0099517107009888,blank
8000,2212.969482421875,1.0345659255981445,blank
9000,123.5103530883789,1.0107702016830444,blank
10000,2721.029541015625,1.1556624174118042,blank
